restart,score,plaintext
431,-208.05796925088183,OBNECQOZJIDXAQHZQNGDZFKENTTIONO
432,-208.05796925088183,RUIZATREDFNKCTXETIONEYSZILLFRIR
453,-208.05796925088183,SXNOAFSJMLWYVFZJFNKWJTIONRRLSNS
489,-208.05796925088183,FVSPHDFIKYTAUDLIDSRTIONPSMMYFSF
31,-208.05796925088185,NKLTIONQXCJAYOMQOLPJQUFTLEECNLN
85,-208.05796925088185,OMGJTIONRFHDYIVNIGSHNQXJGCCFOGO
107,-208.05796925088185,TIONRSTFUXBLESZFSOJBFQANOMMXTOT
169,-208.05796925088185,OEHATIONXPSZBIDNIHKSNQYAHCCPOHO
175,-208.05796925088185,DWQURCDXTIONLCBXCQSOXJPUQVVIDQD
181,-208.05796925088185,TIONFLTXKAUWMLYXLODUXJPNOGGATOT
187,-208.05796925088185,OUDKTIONZFCYRIGNIDECNVLKDXXFODO
210,-208.05796925088185,SJFBGLSXTIONQLMXLFKOXRUBFEEISFS
246,-208.05796925088185,VTIONFVPMLQXAFCPFIRQPJGOIEELVIV
262,-208.05796925088185,DTIONADJQSVWCARJAIGVJFMOIZZSDID
316,-208.05796925088185,JTIONAJXUDMYWARXAIBMXCSOILLDJIJ
365,-208.05796925088185,TUHKLJTIONYRQJFIJHAYIMPKHBBNTHT
59,-208.10423093408406,MKSWQUMHVATFNUCHUSDTHERWSXXAMSM
80,-208.10423093408406,SMEYVHSTKQUWPHXTHERUTLDYEFFQSES
82,-208.10423093408406,AXEHMJALWKVBDJZLJEYVLFTHERRKAEA
99,-208.10423093408406,ZOGFPYZHDQTWUYKHYGMTHERFGXXQZGZ
125,-208.10423093408406,YJHCLTYWXFROUTDWTHERWZPCHVVFYHY
126,-208.10423093408406,XZLBGEXISDUTHERIELOUIJCBLMMDXLX
127,-208.10423093408406,WZCYFEWSAXDTHERSECMDSJUYCKKXWCW
155,-208.10423093408406,CUEMJHCTDFOGVHZTHEROTXNMEKKFCEC
179,-208.10423093408406,KMSFCUKEJGHBDUVEUSTHERZFSPPGKSK
