restart,score,plaintext
201,-215.15842251088048,UNCNPXRUDDFDKIUVDPOPZMUIMNOAJER
202,-215.15842251088048,CNWNDKMCTTOTYZCQTDBDFXCZXNBVGRM
203,-215.15842251088048,VCKCLUJVWWFWQMVPWLXLODVMDCXYNHJ
204,-215.15842251088048,DQWQLFVDUUAUOGDYULILZSDGSQIXKBV
205,-215.15842251088048,DVBVUSPDNNANZODENUTUHFDOFVTQLMP
206,-183.3123329305225,HYOYWLXHFFAFGCHBFWSWITHCTYSUZVX
207,-181.28554692546717,HEREXIGHTTSTUDHMTXBXZNHDNEBFCOG
208,-151.11947865596866,FSOSEBLFHHAHPIFTHEREMNFINSRCYDL
209,-215.15842251088048,MRPRYCWMAATAKFMNAYGYXJMFJRGOVEW
210,-215.15842251088048,JDXDKQEJVVYVZMJGVKOKFNJMNDOABPE
211,-215.15842251088048,QUVUACMQGGOGKLQYGAJAHIQLIUJXDRM
212,-215.15842251088048,ESLSUGMEDDXDITERDUYUNKETKSYCPAM
213,-208.05796925088183,NFCFUAQNTTZTIONYTUSUPDNODFSHVJQ
214,-215.15842251088048,GVEVJWLGBBXBNMGPBJTJFRGMRVTSCYL
215,-215.15842251088048,ZCECKXTZIILIDPZVIKFKJBZPBCFYNGT
216,-215.15842251088048,WODOQGSWUUFUHRWLUQKQVAWRAOKJIXS
217,-188.1736702327651,HEREWNLHVVOVAYHKVWBWGZHYZEBJCPL
218,-215.15842251088048,YQBQKCWYOOXOIJYHOKPKZVYJVQPDLAW
219,-208.05796925088183,JDSDHYVJMMXMFKJRMHTHQPJKPDTIONV
220,-215.15842251088048,CDKDQSUCMMXMHLCFMQOQYICLIDONVBU
221,-208.10423093408406,JENELWXJOOKOQTJPOLRLFHJTHERYDUX
222,-151.11947865596866,ZCBCEFQZHHYHUDZTHERESAZDACRINXQ
223,-208.05796925088183,QIBIAYXQFFKFUHQEFAOAPTQHTIONVMX
224,-215.15842251088048,LBVBGPYLZZKZNXLMZGRGSDLXDBREUJY
