restart,score,plaintext
206,-215.15842251088048,TQNDVRTBWELFPRYBRNXLBSUDNCCETNT
207,-215.15842251088048,ALNKQVAMTZGFUVBMVNSGMCEKNDDZANA
208,-195.15842251088048,JARHZXJCNOWMVXDCXRUWCKTHREEOJRJ
209,-215.15842251088048,OMJZHQOIBVSYEQWIQJLSIFCZJAAVOJO
210,-208.05796925088185,SJFBGLSXTIONQLMXLFKOXRUBFEEISFS
211,-215.15842251088048,KSVHBUKWNQIPZULWUVJIWGXHVCCQKVK
212,-215.15842251088048,HBZLJSHOPWKQRSYOSZMKOAFLZNNWHZH
213,-188.1736702327651,EBRLQYEZXHDPKYCZYRWDZGNLRJJHERE
214,-215.15842251088048,KTYPAJKRXCUEWJVRJYZURBIPYFFCKYK
215,-215.15842251088048,LPIDQXLAYUGBRXOAXIJGAFVDIWWULIL
216,-215.15842251088048,XPLNCDXIRMKSGDWIDLHKIVONLBBMXLX
217,-188.1736702327651,EMRDSCEQJHFPYCIQCRBFQOZDRNNHERE
218,-183.31233293052253,NKWITHNXQADFRHGXHWCDXOJIWBBANWN
219,-215.15842251088048,XNAHPIXOSWQCKIFOIADQOUYHAMMWXAX
220,-215.15842251088048,ZYEQRFZOKCIJPFVOFELIOWBQEDDCZEZ
221,-215.15842251088048,MEHVGDMQOCZAUDSQDHBZQKPVHYYCMHM
222,-215.15842251088048,KCQTDSKXFWIYGSJXSQRIXEZTQLLWKQK
223,-215.15842251088048,UCELKOUBPHTFGOYBOESTBXVLEDDHUEU
224,-183.31233293052253,OUWITHONAYZDVHCNHWKZNXRIWGGYOWO
225,-215.15842251088048,UXWJETUDQKROFTSDTWCRDZBJWAAKUWU
226,-215.15842251088048,NGJFVINEWPYAZICEIJMYEKLFJQQPNJN
227,-183.31233293052253,GWITHLGVZCOKPLQVLIEOVBNTIFFCGIG
228,-176.2581413537261,LKSFCRLNWITHERJNRSBTNPDFSUUILSL
229,-151.11947865596866,EDRVFBEPJHIZSBLPBRNIPUKVRTTHERE
230,-208.10423093408406,SQVYBESAZMPTHERAEVDPAJIYVOOMSVS
231,-215.15842251088048,XNZVLEXTUKBCQEMTEZOBTDFVZRRKXZX
232,-151.11947865596866,EURPQDECZHBOYDGCDRXBCIAPRTTHERE
233,-188.1736702327651,EURYFBEVWHSICBQVBRJSVDKYRPPHERE
234,-215.15842251088048,WQIFGJWLRKABZJVLJIXALMPFIUUKWIW
